Count,coordinates
6,"[16.2094,77.3551]"
3,"[16.2208,74.3584]"
22,"[16.2393,80.0476]"
40,"[16.2425,80.6398]"
6,"[16.259,81.1421]"
1,"[16.2793,78.0277]"
1071,"[16.2997,80.4573]"
2,"[16.338,75.2847]"
61,"[16.3631,80.8441]"
5,"[16.4256,74.584]"
77,"[16.431,80.5724]"
3,"[16.4382,80.7674]"
4,"[16.4665,81.7224]"
16,"[16.4794,81.8368]"
5,"[16.4829,81.9834]"
38,"[16.4839,79.8844]"
11,"[16.5038,75.2876]"
6351,"[16.5074,80.6466]"
8,"[16.5204,76.7567]"
3,"[16.5391,80.5756]"
65,"[16.5408,81.5232]"
23,"[16.5495,77.7326]"
8,"[16.5496,81.2133]"
7,"[16.5651,74.8153]"
14,"[16.574,74.3182]"
2,"[16.5755,80.3566]"
1,"[16.5772,80.1286]"
130,"[16.5787,82.0061]"
1,"[16.5811,77.7489]"
36,"[16.5859,81.4612]"
21,"[16.6563,73.512]"
298,"[16.6912,74.4605]"
1990,"[16.6956,74.2317]"
5,"[16.6981,81.6]"
33,"[16.7094,77.9633]"
90,"[16.7131,81.1044]"
27,"[16.7167,77.8906]"
6,"[16.7245,75.0638]"
34,"[16.7312,82.2167]"
125,"[16.7353,74.6025]"
6,"[16.7429,77.7806]"
23,"[16.7438,77.986]"
63,"[16.7544,81.6814]"
12,"[16.7564,80.2764]"
12,"[16.7741,78.1407]"
2,"[16.7885,80.8459]"
3,"[16.7943,82.0602]"
13,"[16.798,81.723]"
344,"[16.8242,74.6466]"
901,"[16.8277,75.7176]"
39,"[16.8344,82.0332]"
2405,"[16.8544,74.5642]"
1,"[16.8794,81.0223]"
4,"[16.8997,81.1754]"
107,"[16.9052,81.6776]"
68,"[16.9338,81.9579]"
188,"[16.9604,82.2381]"
5,"[16.9832,79.0114]"
326,"[16.9915,73.3102]"
1151,"[17.0126,81.7794]"
1,"[17.0193,81.7334]"
299,"[17.052,79.2662]"
103,"[17.0544,82.1798]"
5,"[17.0719,80.9854]"
10,"[17.077,82.1384]"
28,"[17.1056,79.1703]"
83,"[17.1168,82.2528]"
117,"[17.2497,80.869]"
167,"[17.2531,80.1421]"
539,"[17.2894,74.1818]"
1,"[17.3053,78.5375]"
1,"[17.3056,78.4972]"
34,"[17.3134,76.0606]"
8,"[17.3199,79.1385]"
775,"[17.3358,76.8376]"
5,"[17.3381,77.9044]"
8,"[17.3412,78.5181]"
1,"[17.3684,78.4276]"
46,"[17.3758,73.9044]"
2782,"[17.3784,78.4712]"
46902,"[17.3846,78.4574]"
1,"[17.3912,78.4791]"
9,"[17.3931,79.9052]"
18,"[17.3937,78.329]"
3,"[17.4044,74.1046]"
22,"[17.4119,78.4704]"
134,"[17.4163,78.4371]"
81,"[17.4187,78.5102]"
1,"[17.4213,78.5856]"
35,"[17.4214,78.4871]"
7,"[17.4253,78.4581]"
3,"[17.4282,78.5306]"
5,"[17.4282,79.188]"
200,"[17.4427,78.4751]"
54,"[17.445,81.7758]"
7,"[17.4478,78.5263]"
22,"[17.4529,78.4304]"
3,"[17.4938,78.3317]"
273,"[17.512,78.8893]"
2017,"[17.5334,73.5093]"
9,"[17.5447,80.6171]"
5,"[17.5491,82.8575]"
24,"[17.5815,80.6765]"
1140,"[17.6715,75.9104]"
4134,"[17.6801,83.2016]"
841,"[17.6859,73.9933]"
10,"[17.7306,78.2423]"
7,"[17.7357,82.8878]"
19,"[17.7593,73.1882]"
15,"[17.7734,79.9617]"
3,"[17.8382,80.8214]"
114,"[17.8534,78.6775]"
146,"[17.908,77.5152]"
9,"[17.9236,79.6273]"
4,"[17.9242,76.7549]"
2,"[17.9403,79.8607]"
1,"[17.9459,79.5945]"
435,"[17.974,79.5995]"
78,"[17.995,74.4356]"
329,"[17.9989,79.5429]"
6,"[18.0079,79.5583]"
75,"[18.0398,74.1834]"
56,"[18.0832,73.413]"
33,"[18.1041,78.8483]"
4,"[18.1062,83.134]"
16,"[18.116,76.7566]"
127,"[18.1169,83.4115]"
1,"[18.1208,78.4352]"
203,"[18.1517,74.5777]"
20,"[18.1533,73.9811]"
23,"[18.1827,76.0399]"
18,"[18.2309,73.282]"
83,"[18.25,73.9]"
85,"[18.2787,81.9918]"
80,"[18.2989,83.8926]"
21,"[18.2992,73.2469]"
3,"[18.31,83.2527]"
10,"[18.3282,72.9621]"
1,"[18.3692,83.9037]"
7,"[18.3705,78.31]"
19,"[18.3814,74.8097]"
292,"[18.3972,76.5678]"
37,"[18.4367,76.8498]"
297,"[18.4367,79.1322]"
17,"[18.4369,73.1196]"
15,"[18.4714,74.5843]"
5,"[18.5127,79.0242]"
79882,"[18.5213,73.8523]"
39,"[18.524,73.6153]"
10,"[18.5348,73.9306]"
78,"[18.5434,73.8872]"
2,"[18.5737,83.3593]"
19,"[18.6143,74.6951]"
303,"[18.6208,73.798]"
396,"[18.6448,72.8679]"
12,"[18.655,77.8869]"
32,"[18.6732,78.1001]"
25,"[18.6806,81.2674]"
33,"[18.7353,73.6677]"
167,"[18.7373,73.096]"
60,"[18.7387,76.3842]"
26,"[18.7527,73.4057]"
435,"[18.755,79.474]"
6,"[18.7614,84.4125]"
11,"[18.7735,84.4143]"
39,"[18.7887,73.348]"
74,"[18.7963,78.9185]"
1,"[18.7997,78.9283]"
5,"[18.8019,72.9224]"
105,"[18.811,82.2998]"
429,"[18.812,82.7105]"
3,"[18.8314,73.2816]"
23,"[18.8564,82.5673]"
17,"[18.8708,73.8999]"
58,"[18.8781,72.9392]"
5,"[18.8851,72.974]"
42,"[18.9107,73.3235]"
60,"[18.95,72.7833]"
403,"[18.9721,72.8246]"
3,"[18.9777,81.4006]"
1,"[18.9804,73.2627]"
347,"[18.9871,76.0436]"
193,"[18.9888,73.1101]"
205,"[18.9907,75.7541]"
5,"[18.9917,79.7954]"
67,"[19.0021,73.9401]"
29,"[19.0197,72.827]"
2,"[19.0243,73.3144]"
1,"[19.0258,73.1027]"
35,"[19.0333,72.85]"
1,"[19.0384,72.8932]"
15873,"[19.0397,73.0141]"
197,"[19.0468,82.5532]"
76,"[19.0521,73.0638]"
6,"[19.0643,72.8341]"
4,"[19.0725,72.8871]"
92923,"[19.0748,72.8856]"
1,"[19.0785,73.0018]"
142,"[19.0814,82.0213]"
51,"[19.0924,73.2971]"
621,"[19.0946,74.7384]"
16,"[19.1124,72.8757]"
20,"[19.1168,72.984]"
1189,"[19.1339,72.9822]"
202,"[19.1552,73.2655]"
158,"[19.1602,77.315]"
3,"[19.1731,72.9468]"
19,"[19.1936,76.928]"
5761,"[19.197,72.9635]"
14,"[19.2002,73.1639]"
3172,"[19.2162,73.0824]"
2,"[19.2167,77.6722]"
1809,"[19.2175,73.1476]"
1627,"[19.2463,73.1315]"
26,"[19.2616,84.908]"
218,"[19.2649,76.7694]"
4,"[19.2771,80.3752]"
6,"[19.2836,72.8675]"
774,"[19.3002,73.0588]"
127,"[19.3836,85.0513]"
5,"[19.3907,74.6498]"
172,"[19.4503,78.1693]"
6,"[19.4523,73.3257]"
681,"[19.4559,72.8114]"
52,"[19.4791,82.8152]"
13,"[19.5,76.0]"
25,"[19.5106,79.3386]"
52,"[19.5585,84.5953]"
35,"[19.5642,74.2082]"
8,"[19.6289,76.2098]"
2,"[19.6364,72.7228]"
1,"[19.6535,73.1481]"
18,"[19.6713,78.5334]"
294,"[19.6969,72.7654]"
7,"[19.7172,74.4772]"
2,"[19.7229,72.9137]"
108,"[19.7629,74.4727]"
221,"[19.8036,72.756]"
21,"[19.8411,75.8897]"
51,"[19.8469,79.3403]"
7196,"[19.8808,75.3392]"
101,"[19.9045,83.1688]"
3,"[19.971,72.7131]"
90,"[19.9781,76.796]"
8013,"[19.9973,73.791]"
333685,"[20.0063,77.006]"
5,"[20.0398,74.4849]"
9,"[20.0506,78.9572]"
623,"[20.1408,75.0043]"
84,"[20.1427,74.2395]"
88,"[20.1977,72.746]"
5,"[20.2003,78.4389]"
21,"[20.2329,85.8353]"
17,"[20.2597,85.7899]"
13,"[20.2699,72.9965]"
21961,"[20.2713,85.8334]"
39,"[20.2734,81.4919]"
24,"[20.2771,85.9005]"
6,"[20.2861,79.6562]"
88,"[20.3148,86.6065]"
42,"[20.3246,76.015]"
3,"[20.3484,74.1562]"
1091,"[20.3708,72.9052]"
64,"[20.3944,78.1291]"
229,"[20.4143,72.8324]"
2598,"[20.4644,85.8774]"
93,"[20.4801,84.2303]"
90,"[20.5,84.4167]"
1141,"[20.5049,75.6659]"
59,"[20.5073,72.9497]"
24,"[20.5269,76.1834]"
15,"[20.5341,73.176]"
1209,"[20.5493,74.5309]"
40,"[20.5668,77.9976]"
1452,"[20.6101,72.9343]"
691,"[20.6279,73.0954]"
22,"[20.6566,85.6009]"
113,"[20.7023,83.4896]"
7,"[20.7069,76.5703]"
420,"[20.7072,81.5487]"
265,"[20.7096,76.9981]"
42,"[20.7405,78.6062]"
23,"[20.767,73.5027]"
1086,"[20.7696,72.9613]"
3,"[20.7713,86.7425]"
1,"[20.7744,79.0244]"
3,"[20.7776,84.3282]"
1,"[20.7938,70.699]"
7,"[20.8333,83.9167]"
173,"[20.8438,85.1021]"
32,"[20.8483,86.3387]"
19,"[20.8542,79.329]"
479,"[20.9013,74.7774]"
191,"[20.9094,70.364]"
719,"[20.9333,77.75]"
2056,"[20.9424,72.9247]"
18,"[20.9428,85.3086]"
24,"[20.9473,85.2352]"
7,"[20.9965,83.0636]"
1633,"[21.0029,75.566]"
36,"[21.0218,80.9153]"
16,"[21.0295,70.233]"
541,"[21.0438,75.0599]"
3,"[21.0565,78.8019]"
21,"[21.0882,71.7617]"
16,"[21.0938,79.3392]"
16,"[21.0963,77.0588]"
3,"[21.0967,80.1514]"
51,"[21.1131,73.3914]"
177,"[21.123,73.1115]"
11,"[21.1236,76.7415]"
26,"[21.145,78.4532]"
